filename,filepath,wnid,domain,superordinate,coordinate,specific,prompt_text,matrix_index,typicality
cat_n02123045_n02123045_0.JPEG,data/images/cat_n02123045_n02123045_0.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,0,Typical
cat_n02123045_n02123045_1.JPEG,data/images/cat_n02123045_n02123045_1.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,1,Typical
cat_n02123045_n02123045_10.JPEG,data/images/cat_n02123045_n02123045_10.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,2,Typical
cat_n02123045_n02123045_100.JPEG,data/images/cat_n02123045_n02123045_100.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,3,Typical
cat_n02123045_n02123045_101.JPEG,data/images/cat_n02123045_n02123045_101.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,4,Typical
cat_n02123045_n02123045_102.JPEG,data/images/cat_n02123045_n02123045_102.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,5,Typical
cat_n02123045_n02123045_103.JPEG,data/images/cat_n02123045_n02123045_103.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,6,Typical
cat_n02123045_n02123045_104.JPEG,data/images/cat_n02123045_n02123045_104.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,7,Typical
cat_n02123045_n02123045_105.JPEG,data/images/cat_n02123045_n02123045_105.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,8,Typical
cat_n02123045_n02123045_106.JPEG,data/images/cat_n02123045_n02123045_106.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,9,Typical
cat_n02123045_n02123045_107.JPEG,data/images/cat_n02123045_n02123045_107.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,10,Typical
cat_n02123045_n02123045_108.JPEG,data/images/cat_n02123045_n02123045_108.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,11,Typical
cat_n02123045_n02123045_109.JPEG,data/images/cat_n02123045_n02123045_109.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,12,Typical
cat_n02123045_n02123045_11.JPEG,data/images/cat_n02123045_n02123045_11.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,13,Typical
cat_n02123045_n02123045_110.JPEG,data/images/cat_n02123045_n02123045_110.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,14,Typical
cat_n02123045_n02123045_111.JPEG,data/images/cat_n02123045_n02123045_111.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,15,Typical
cat_n02123045_n02123045_112.JPEG,data/images/cat_n02123045_n02123045_112.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,16,Typical
cat_n02123045_n02123045_113.JPEG,data/images/cat_n02123045_n02123045_113.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,17,Typical
cat_n02123045_n02123045_114.JPEG,data/images/cat_n02123045_n02123045_114.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,18,Typical
cat_n02123045_n02123045_115.JPEG,data/images/cat_n02123045_n02123045_115.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,19,Typical
cat_n02123045_n02123045_116.JPEG,data/images/cat_n02123045_n02123045_116.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,20,Typical
cat_n02123045_n02123045_117.JPEG,data/images/cat_n02123045_n02123045_117.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,21,Typical
cat_n02123045_n02123045_118.JPEG,data/images/cat_n02123045_n02123045_118.JPEG,n02123045,Living,Animals,Mammals,Cat,cat,22,Typical
