filename,filepath,wnid,domain,superordinate,coordinate,specific,typicality,prompt_text
dog_n02106662_n02106662_116.JPEG,data/images/dog_n02106662_n02106662_116.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_136.JPEG,data/images/dog_n02106662_n02106662_136.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_110.JPEG,data/images/dog_n02106662_n02106662_110.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_16.JPEG,data/images/dog_n02106662_n02106662_16.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_143.JPEG,data/images/dog_n02106662_n02106662_143.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_114.JPEG,data/images/dog_n02106662_n02106662_114.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_170.JPEG,data/images/dog_n02106662_n02106662_170.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_0.JPEG,data/images/dog_n02106662_n02106662_0.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_182.JPEG,data/images/dog_n02106662_n02106662_182.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_118.JPEG,data/images/dog_n02106662_n02106662_118.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_100.JPEG,data/images/dog_n02106662_n02106662_100.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_140.JPEG,data/images/dog_n02106662_n02106662_140.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_186.JPEG,data/images/dog_n02106662_n02106662_186.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_135.JPEG,data/images/dog_n02106662_n02106662_135.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_151.JPEG,data/images/dog_n02106662_n02106662_151.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_113.JPEG,data/images/dog_n02106662_n02106662_113.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_166.JPEG,data/images/dog_n02106662_n02106662_166.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_160.JPEG,data/images/dog_n02106662_n02106662_160.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_12.JPEG,data/images/dog_n02106662_n02106662_12.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_174.JPEG,data/images/dog_n02106662_n02106662_174.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_130.JPEG,data/images/dog_n02106662_n02106662_130.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_17.JPEG,data/images/dog_n02106662_n02106662_17.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_184.JPEG,data/images/dog_n02106662_n02106662_184.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_11.JPEG,data/images/dog_n02106662_n02106662_11.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_122.JPEG,data/images/dog_n02106662_n02106662_122.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_144.JPEG,data/images/dog_n02106662_n02106662_144.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_121.JPEG,data/images/dog_n02106662_n02106662_121.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_179.JPEG,data/images/dog_n02106662_n02106662_179.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_102.JPEG,data/images/dog_n02106662_n02106662_102.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_146.JPEG,data/images/dog_n02106662_n02106662_146.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_156.JPEG,data/images/dog_n02106662_n02106662_156.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_176.JPEG,data/images/dog_n02106662_n02106662_176.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_15.JPEG,data/images/dog_n02106662_n02106662_15.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_142.JPEG,data/images/dog_n02106662_n02106662_142.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_162.JPEG,data/images/dog_n02106662_n02106662_162.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_134.JPEG,data/images/dog_n02106662_n02106662_134.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_105.JPEG,data/images/dog_n02106662_n02106662_105.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_149.JPEG,data/images/dog_n02106662_n02106662_149.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_120.JPEG,data/images/dog_n02106662_n02106662_120.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_154.JPEG,data/images/dog_n02106662_n02106662_154.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_104.JPEG,data/images/dog_n02106662_n02106662_104.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_18.JPEG,data/images/dog_n02106662_n02106662_18.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_183.JPEG,data/images/dog_n02106662_n02106662_183.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_106.JPEG,data/images/dog_n02106662_n02106662_106.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_124.JPEG,data/images/dog_n02106662_n02106662_124.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_109.JPEG,data/images/dog_n02106662_n02106662_109.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_123.JPEG,data/images/dog_n02106662_n02106662_123.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_107.JPEG,data/images/dog_n02106662_n02106662_107.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_126.JPEG,data/images/dog_n02106662_n02106662_126.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_172.JPEG,data/images/dog_n02106662_n02106662_172.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_177.JPEG,data/images/dog_n02106662_n02106662_177.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_169.JPEG,data/images/dog_n02106662_n02106662_169.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_188.JPEG,data/images/dog_n02106662_n02106662_188.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
dog_n02106662_n02106662_145.JPEG,data/images/dog_n02106662_n02106662_145.JPEG,n02106662,Living,Animals,Domestic Dogs,German Shepherd,Typical,german_shepherd
