prompt,pruning_level,retrieved_concept,retrieved_img_path,correct,top1_similarity
German Shepherd,0.0,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.32054123282432556
Tabby Cat,0.0,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.297488272190094
Chimpanzee,0.0,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_161.JPEG,True,0.3073103725910187
King Penguin,0.0,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.3268345594406128
American Alligator,0.0,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_247.JPEG,True,0.32422196865081787
Bullfrog,0.0,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_16.JPEG,True,0.30610233545303345
Goldfish,0.0,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3034827411174774
Monarch Butterfly,0.0,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_191.JPEG,True,0.32726573944091797
Lemon,0.0,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_163.JPEG,True,0.30887866020202637
Banana,0.0,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.3040339946746826
German Shepherd,0.025,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.31984883546829224
Tabby Cat,0.025,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.2973383367061615
Chimpanzee,0.025,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_161.JPEG,True,0.30836930871009827
King Penguin,0.025,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.3274614214897156
American Alligator,0.025,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_247.JPEG,True,0.3248879313468933
Bullfrog,0.025,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_16.JPEG,True,0.306302934885025
Goldfish,0.025,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.3032761216163635
Monarch Butterfly,0.025,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_191.JPEG,True,0.32686054706573486
Lemon,0.025,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_163.JPEG,True,0.3081784248352051
Banana,0.025,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.3039948642253876
German Shepherd,0.05,German Shepherd,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/dog_n02106662_n02106662_12.JPEG,True,0.3192846179008484
Tabby Cat,0.05,Tabby Cat,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/cat_n02123045_n02123045_130.JPEG,True,0.29651594161987305
Chimpanzee,0.05,Chimpanzee,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/chimpanzee_n02481823_n02481823_161.JPEG,True,0.3047528862953186
King Penguin,0.05,King Penguin,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/king_penguin_n02056570_n02056570_272.JPEG,True,0.3290807604789734
American Alligator,0.05,American Alligator,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/american_alligator_n01698640_n01698640_247.JPEG,True,0.3245856463909149
Bullfrog,0.05,Bullfrog,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/bullfrog_n01641577_n01641577_16.JPEG,True,0.30503836274147034
Goldfish,0.05,Goldfish,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/goldfish_n01443537_n01443537_130.JPEG,True,0.30377742648124695
Monarch Butterfly,0.05,Monarch Butterfly,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/monarch_butterfly_n02279972_n02279972_191.JPEG,True,0.325293630361557
Lemon,0.05,Lemon,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/lemon_n07749582_n07749582_163.JPEG,True,0.30854952335357666
Banana,0.05,Banana,/home/vmuser/Music/research_project/semantic-dementia-clip-updated/Clip-SD/semantic-dementia-clip-main/data/images/banana_n07753592_n07753592_125.JPEG,True,0.3000136613845825
