Pruning_Level,Target_Area,Modality_Mode,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse,Expected_Taxonomic_Cost
0.0,projection,joint,9,0,0,0,1,0.48
0.05,projection,joint,8,1,0,0,1,0.48
0.1,projection,joint,7,1,0,1,1,0.79
0.15,projection,joint,9,0,0,0,1,0.48
0.2,projection,joint,7,0,1,1,1,0.54
0.25,projection,joint,9,0,0,0,1,0.45
0.3,projection,joint,9,0,0,0,1,0.66
0.35,projection,joint,7,0,0,1,2,0.84
0.4,projection,joint,8,0,0,0,2,0.71
0.45,projection,joint,8,0,0,1,1,0.52
0.5,projection,joint,7,0,0,1,2,0.88
0.55,projection,joint,9,0,0,1,0,0.64
0.6,projection,joint,7,1,1,1,0,0.64
0.65,projection,joint,7,1,0,0,2,1.2
0.7,projection,joint,3,0,1,0,6,2.38
0.75,projection,joint,6,1,1,1,1,1.29
0.8,projection,joint,1,1,1,1,6,2.37
0.85,projection,joint,4,2,0,1,3,2.54
0.9,projection,joint,0,1,2,3,4,2.34
