Pruning_Level,Target_Area,Modality_Mode,Correct,Coordinate Error,Superordinate Error,Domain Error,Domain Collapse,Expected_Taxonomic_Cost
0.0,projection,joint,66,3,0,1,2,0.2139
0.05,projection,joint,65,4,0,1,2,0.2222
0.1,projection,joint,65,4,0,1,2,0.2778
0.15,projection,joint,64,5,0,1,2,0.3208
0.2,projection,joint,63,4,2,1,2,0.3639
0.25,projection,joint,64,3,2,1,2,0.3625
0.3,projection,joint,61,4,3,1,3,0.4722
0.35,projection,joint,58,7,2,1,4,0.4833
0.4,projection,joint,55,6,5,1,5,0.5167
0.45,projection,joint,57,4,5,1,5,0.5903
0.5,projection,joint,56,4,6,1,5,0.6292
0.55,projection,joint,50,8,8,2,4,0.7931
0.6,projection,joint,43,9,10,6,4,0.9042
0.65,projection,joint,36,9,16,7,4,1.2681
0.7,projection,joint,21,9,28,7,7,1.5472
0.75,projection,joint,16,5,40,5,6,1.7569
0.8,projection,joint,14,6,38,9,5,1.9153
0.85,projection,joint,3,5,45,13,6,2.0708
0.9,projection,joint,3,7,44,11,7,2.0764
0.0,projection,vision_only,66,3,0,1,2,0.2139
0.05,projection,vision_only,66,3,0,1,2,0.2083
0.1,projection,vision_only,66,2,1,1,2,0.2167
0.15,projection,vision_only,65,4,0,1,2,0.225
0.2,projection,vision_only,66,3,0,1,2,0.2139
0.25,projection,vision_only,66,3,0,1,2,0.2264
0.3,projection,vision_only,67,3,0,0,2,0.225
0.35,projection,vision_only,65,4,0,1,2,0.2597
0.4,projection,vision_only,65,5,0,0,2,0.275
0.45,projection,vision_only,66,3,1,0,2,0.2972
0.5,projection,vision_only,62,5,2,0,3,0.3736
0.55,projection,vision_only,61,3,5,1,2,0.375
0.6,projection,vision_only,60,4,5,1,2,0.425
0.65,projection,vision_only,58,5,7,0,2,0.4722
0.7,projection,vision_only,54,7,7,1,3,0.5903
0.75,projection,vision_only,53,10,5,2,2,0.7042
0.8,projection,vision_only,48,9,11,3,1,0.8389
0.85,projection,vision_only,39,6,18,6,3,1.0569
0.9,projection,vision_only,30,7,24,2,9,1.4958
0.0,projection,text_only,66,3,0,1,2,0.2139
0.05,projection,text_only,66,3,0,1,2,0.2125
0.1,projection,text_only,65,4,0,1,2,0.2389
0.15,projection,text_only,67,2,0,1,2,0.2486
0.2,projection,text_only,65,3,1,1,2,0.275
0.25,projection,text_only,65,4,0,1,2,0.2792
0.3,projection,text_only,61,8,0,1,2,0.3042
0.35,projection,text_only,64,4,1,1,2,0.2931
0.4,projection,text_only,62,4,3,1,2,0.3097
0.45,projection,text_only,59,4,6,1,2,0.3736
0.5,projection,text_only,58,6,5,1,2,0.3764
0.55,projection,text_only,60,3,6,1,2,0.4083
0.6,projection,text_only,59,6,4,1,2,0.4639
0.65,projection,text_only,59,5,4,1,3,0.5194
0.7,projection,text_only,57,5,6,2,2,0.6194
0.75,projection,text_only,51,8,6,4,3,0.7819
0.8,projection,text_only,43,10,11,5,3,0.8903
0.85,projection,text_only,35,10,16,7,4,1.3319
0.9,projection,text_only,20,15,24,9,4,1.4917
0.0,full,joint,66,3,0,1,2,0.2139
0.05,full,joint,51,7,10,2,2,0.7736
0.1,full,joint,12,14,24,16,6,2.0222
0.15,full,joint,3,5,34,25,5,2.4028
0.2,full,joint,0,6,44,9,13,2.3431
0.25,full,joint,0,0,32,35,5,2.4514
0.3,full,joint,1,6,45,15,5,2.4153
0.35,full,joint,1,9,49,8,5,2.3153
0.4,full,joint,1,1,5,60,5,2.6528
0.45,full,joint,1,4,50,9,8,2.2833
0.5,full,joint,1,7,51,8,5,2.4583
0.55,full,joint,0,9,48,10,5,2.2708
0.6,full,joint,1,9,49,8,5,2.15
0.65,full,joint,1,1,48,17,5,2.5306
0.7,full,joint,1,7,39,20,5,2.2
0.75,full,joint,1,9,49,8,5,2.3792
0.8,full,joint,1,5,53,8,5,2.1486
0.85,full,joint,1,9,49,8,5,2.125
0.9,full,joint,1,9,49,8,5,2.2889
